Data,DiÛxido de Enxofre,PartÌculas < 10 µm,DiÛxido de Azoto,”xidos de Azoto,MonÛxido de Azoto,,
(Hora UTC),µg/m3,µg/m3,µg/m3,µg/m3,µg/m3,,
2017-01-17 03:00:00,,44120,41550,69732,18380,,
2017-01-17 04:00:00,,43290,39040,61487,14640,,
2017-01-17 05:00:00,,32470,33350,38394,3290,,
2017-01-17 06:00:00,,29970,34720,41267,4270,,
2017-01-17 07:00:00,,37190,40880,70304,19190,,
2017-01-17 08:00:00,,38850,24160,37055,8410,,
2017-01-17 09:00:00,,32470,29780,57272,17930,,
2017-01-17 10:00:00,,31080,23150,37333,9250,,
2017-01-17 11:00:00,,34690,16850,27430,6900,,
2017-01-17 12:00:00,,35520,26710,43622,11030,,
2017-01-17 13:00:00,,35520,31270,47017,10270,,
2017-01-17 14:00:00,,35520,39950,62919,14980,,
2017-01-17 15:00:00,,29140,39300,56779,11400,,
2017-01-17 16:00:00,,27750,42370,53425,7210,,
2017-01-17 17:00:00,,27750,36220,40115,2540,,
2017-01-17 18:00:00,,27750,60120,78995,12310,,
2017-01-17 19:00:00,,30530,51110,61490,6770,,
2017-01-17 20:00:00,,31080,30120,32297,1420,,
2017-01-17 21:00:00,,31910,24350,27003,1730,,
2017-01-17 22:00:00,,32190,29380,32401,1970,,
2017-01-17 23:00:00,,24980,31160,34365,2090,,
2017-01-18 00:00:00,,23310,26160,28261,1370,,
2017-01-18 01:00:00,,21370,11160,12233,700,,
2017-01-18 02:00:00,,21090,7700,9126,930,,
2017-01-18 03:00:00,,13040,3610,4668,690,,
2017-01-18 04:00:00,,11100,2750,3793,680,,
2017-01-18 05:00:00,,7490,2670,4234,1020,,
2017-01-18 06:00:00,,6660,3350,4423,700,,
2017-01-18 07:00:00,,4720,5410,7204,1170,,
2017-01-18 08:00:00,,4440,6830,9222,1560,,
2017-01-18 09:00:00,,3610,9790,14053,2780,,
2017-01-18 10:00:00,,3330,8830,12985,2710,,
2017-01-18 11:00:00,,8880,4020,6274,1470,,
2017-01-18 12:00:00,,9990,3380,6462,2010,,
2017-01-18 13:00:00,,8050,4360,7519,2060,,
2017-01-18 14:00:00,,7770,3990,6627,1720,,
2017-01-18 15:00:00,,5830,3840,6876,1980,,
2017-01-18 16:00:00,,5550,4680,6857,1420,,
2017-01-18 17:00:00,,10270,11470,13218,1140,,
2017-01-18 18:00:00,,11100,17320,20985,2390,,
2017-01-18 19:00:00,,21090,18140,22510,2850,,
2017-01-18 20:00:00,,23310,17250,19979,1780,,
2017-01-18 21:00:00,,24980,20010,25990,3900,,
2017-01-18 22:00:00,,25530,20090,24261,2720,,
2017-01-18 23:00:00,,19980,23540,26469,1910,,
2017-01-19 00:00:00,,18870,21610,22806,780,,
2017-01-19 01:00:00,,21370,17100,18327,800,,
2017-01-19 02:00:00,,22200,14970,16059,710,,
2017-01-19 03:00:00,,14990,15290,16486,780,,
2017-01-19 04:00:00,,13320,9020,9879,560,,
2017-01-19 05:00:00,,16930,9310,10107,520,,
2017-01-19 06:00:00,,17760,8360,9709,880,,
2017-01-19 07:00:00,,15260,8220,10029,1180,,
2017-01-19 08:00:00,,14430,10900,14365,2260,,
2017-01-19 09:00:00,,21650,7920,11953,2630,,
2017-01-19 10:00:00,,23310,6440,10427,2600,,
2017-01-19 11:00:00,370,18870,9990,20202,6660,,
2017-01-19 12:00:00,1010,17760,8220,13847,3670,,
2017-01-19 13:00:00,670,12490,7050,11650,3000,,
2017-01-19 14:00:00,330,11100,7550,11383,2500,,
2017-01-19 15:00:00,290,6660,10910,18055,4660,,
2017-01-19 16:00:00,160,5550,12240,15414,2070,,
2017-01-19 17:00:00,,14710,33070,39525,4210,,
2017-01-19 18:00:00,,16650,35870,39995,2690,,
2017-01-19 19:00:00,160,24140,49400,54720,3470,,
2017-01-19 20:00:00,590,25530,40690,43389,1760,,
2017-01-19 21:00:00,830,24700,24850,28453,2350,,
2017-01-19 22:00:00,650,24420,22350,25999,2380,,
2017-01-19 23:00:00,610,24420,27230,29055,1190,,
2017-01-20 00:00:00,750,24420,45520,55563,6550,,
2017-01-20 01:00:00,950,28860,47670,66867,12520,,
2017-01-20 02:00:00,890,29970,27140,29287,1400,,
2017-01-20 03:00:00,1150,29140,19690,21208,990,,
2017-01-20 04:00:00,1650,28860,23240,25218,1290,,
2017-01-20 05:00:00,1250,30530,28560,31918,2190,,
2017-01-20 06:00:00,1000,31080,30670,38198,4910,,
2017-01-20 07:00:00,830,39130,42780,66745,15630,,
2017-01-20 08:00:00,1260,41070,44600,92178,31030,,
2017-01-20 09:00:00,1640,41070,37790,69836,20900,,
2017-01-20 10:00:00,2500,41070,16730,26788,6560,,
2017-01-20 11:00:00,3680,33860,11100,16466,3500,,
2017-01-20 12:00:00,360,32190,13000,19455,4210,,
